number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,latitude,longitude,timestamp
77,dublin,WOLFE TONE STREET,Wolfe Tone Street,FALSE,FALSE,29,17,12,OPEN,1.74203E+12,53.348875,-6.267459,3/15/2025 9:43
73,dublin,FRANCIS STREET,Francis Street,FALSE,FALSE,30,13,17,OPEN,1.74203E+12,53.342081,-6.275233,3/15/2025 9:43
4,dublin,GREEK STREET,Greek Street,FALSE,FALSE,20,14,5,OPEN,1.74203E+12,53.346874,-6.272976,3/15/2025 9:43
49,dublin,GUILD STREET,Guild Street,FALSE,FALSE,40,23,17,OPEN,1.74203E+12,53.347932,-6.240928,3/15/2025 9:43
19,dublin,HERBERT PLACE,Herbert Place,FALSE,FALSE,30,30,0,OPEN,1.74203E+12,53.334432,-6.245575,3/15/2025 9:43
7,dublin,HIGH STREET,High Street,FALSE,FALSE,29,20,9,OPEN,1.74203E+12,53.343565,-6.275071,3/15/2025 9:43
60,dublin,NORTH CIRCULAR ROAD,North Circular Road,FALSE,FALSE,30,13,17,OPEN,1.74203E+12,53.359624,-6.260348,3/15/2025 9:43
102,dublin,WESTERN WAY,Western Way,FALSE,FALSE,40,15,25,OPEN,1.74203E+12,53.354929,-6.269425,3/15/2025 9:43
38,dublin,TALBOT STREET,Talbot Street,FALSE,FALSE,40,19,20,OPEN,1.74203E+12,53.350974,-6.25294,3/15/2025 9:43
53,dublin,NEWMAN HOUSE,Newman House,FALSE,FALSE,40,40,0,OPEN,1.74203E+12,53.337132,-6.26059,3/15/2025 9:43
58,dublin,SIR PATRICK DUN'S,Sir Patrick's Dun,FALSE,FALSE,40,27,13,OPEN,1.74203E+12,53.339218,-6.240642,3/15/2025 9:43
66,dublin,NEW CENTRAL BANK,New Central Bank,FALSE,FALSE,40,33,7,OPEN,1.74203E+12,53.347122,-6.234749,3/15/2025 9:43
104,dublin,GRANGEGORMAN LOWER (CENTRAL),Grangegorman Lower (Central),FALSE,FALSE,40,37,3,OPEN,1.74203E+12,53.355173,-6.278424,3/15/2025 9:43
101,dublin,KING STREET NORTH,King Street North,FALSE,FALSE,30,16,14,OPEN,1.74203E+12,53.350291,-6.273507,3/15/2025 9:43
115,dublin,KILLARNEY STREET,Killarney Street,FALSE,FALSE,30,5,25,OPEN,1.74203E+12,53.354845,-6.247579,3/15/2025 9:43
47,dublin,HERBERT STREET,Herbert Street,FALSE,FALSE,40,39,1,OPEN,1.74203E+12,53.335742,-6.24551,3/15/2025 9:43
117,dublin,HANOVER QUAY EAST,Hanover Quay East,FALSE,FALSE,40,27,13,OPEN,1.74203E+12,53.343653,-6.231755,3/15/2025 9:43
8,dublin,CUSTOM HOUSE QUAY,Custom House Quay,FALSE,FALSE,30,12,18,OPEN,1.74203E+12,53.347884,-6.248048,3/15/2025 9:43
27,dublin,MOLESWORTH STREET,Molesworth Street,FALSE,FALSE,20,15,5,OPEN,1.74203E+12,53.341288,-6.258117,3/15/2025 9:43
16,dublin,GEORGES QUAY,Georges Quay,FALSE,FALSE,20,4,16,OPEN,1.74203E+12,53.347508,-6.252192,3/15/2025 9:43
